Geneid	X1_1.bam	X1_2.bam	X1_3.bam	XX1_1.bam	XX1_2.bam	XX1_3.bam	XXX2_1.bam	XXX2_2.bam	XXX2_3.bam
MELO3C027586.2	0	0	0	0	0	0	0	0	0
MELO3C000030.2	89	139	130	365	291	93	227	204	297
MELO3C000036.2	143	124	140	105	222	133	100	210	83
MELO3C027977.2	139	78	143	90	173	160	37	112	88
MELO3C027581.2	0	0	0	0	0	0	0	0	0
MELO3C027582.2	0	0	0	0	0	0	0	0	0
MELO3C000031.2	0	0	0	0	0	10	0	4	0
MELO3C027985.2	1	0	0	1	0	0	0	0	0
MELO3C000043.2	0	0	0	0	0	0	0	0	0
MELO3C000034.2	0	0	0	0	0	0	0	0	0
MELO3C027989.2	1	2	0	0	0	0	6	6	0
MELO3C027990.2	0	0	0	0	0	0	0	0	0
MELO3C027583.2	0	0	0	0	0	0	0	0	0
MELO3C000039.2	1495	1463	2104	2105	2844	1976	1362	1863	1244
MELO3C027996.2	0	0	0	0	0	0	0	0	0
MELO3C027998.2	0	0	0	0	0	0	0	0	0
MELO3C027596.2	0	2	0	0	0	0	0	0	0
MELO3C000044.2	249	242	317	513	614	448	255	577	241
MELO3C000051.2	12	13	17	15	15	4	18	21	24
MELO3C000046.2	81	51	92	242	466	281	323	434	519
MELO3C027592.2	0	0	0	0	0	0	0	0	0
MELO3C000047.2	0	4	3	0	0	0	3	0	0
MELO3C028009.2	2	0	0	3	9	1	1	6	0
MELO3C027593.2	0	0	0	0	0	0	0	0	0
MELO3C028011.2	0	0	0	0	0	0	0	0	0
MELO3C027594.2	3	2	1	3	6	3	11	9	2
MELO3C000049.2	0	0	0	0	0	0	0	0	0
MELO3C027595.2	10	5	5	28	77	41	32	45	21
MELO3C028022.2	0	0	0	0	0	0	0	0	0
MELO3C027598.2	0	0	0	0	0	0	0	0	0
MELO3C027599.2	0	0	0	0	0	0	0	0	0
MELO3C000064.2	48	17	27	0	0	0	0	0	0
MELO3C000062.2	355	332	386	406	402	447	606	418	1306
MELO3C000059.2	0	0	0	0	0	0	0	0	0
MELO3C000065.2	2531	2247	3553	3908	4164	2098	4707	4407	4147
MELO3C000061.2	485	553	731	576	571	330	637	629	808
MELO3C028036.2	2	0	2	82	80	84	36	80	72
MELO3C027602.2	0	0	0	0	0	0	0	0	0
MELO3C000071.2	0	0	0	0	0	0	0	0	0
MELO3C027600.2	0	0	0	0	0	0	0	0	0
MELO3C000069.2	2	1	0	0	0	0	0	0	0
MELO3C028034.2	0	0	0	10	11	13	2	8	7
MELO3C000067.2	0	0	3	4	21	8	0	0	3
MELO3C000070.2	2	1	13	30	38	35	115	284	83
MELO3C000076.2	5	0	2	0	0	0	0	0	0
MELO3C000068.2	4	0	8	4	0	0	2	6	2
MELO3C028045.2	0	0	0	0	0	0	0	0	0
MELO3C028044.2	0	0	0	0	0	2	0	0	0
MELO3C000075.2	55	56	44	70	72	33	65	72	77
MELO3C028049.2	0	0	0	0	0	0	0	0	0
MELO3C027601.2	0	0	0	0	0	0	0	0	0
MELO3C000084.2	9	11	14	4	8	6	7	19	14
MELO3C000086.2	0	0	0	0	0	2	0	0	0
MELO3C000082.2	0	0	0	0	0	0	0	0	0
MELO3C000081.2	231	288	420	268	441	352	271	273	254
MELO3C000083.2	2	0	0	0	0	0	2	0	4
MELO3C001396.2	0	0	0	0	0	0	0	0	0
MELO3C000090.2	4	24	18	0	0	1	0	0	0
MELO3C000089.2	0	0	0	0	0	0	0	0	0
MELO3C000393.2	0	0	0	0	0	0	0	0	0
MELO3C027604.2	0	0	0	0	0	0	0	0	0
MELO3C000093.2	1	4	0	1588	1556	1375	576	1244	659
MELO3C000108.2	160	106	228	310	253	202	151	176	198
MELO3C000087.2	830	755	1332	284	136	1184	0	3	2
MELO3C000106.2	831	748	900	949	1171	753	686	542	636
MELO3C027605.2	0	0	0	0	0	0	0	0	0
MELO3C027607.2	0	0	0	0	0	0	0	0	0
MELO3C027606.2	6	12	6	9	4	6	0	1	3
MELO3C027608.2	0	0	0	0	0	0	0	0	0
MELO3C000105.2	140	234	257	90	264	47	66	110	103
MELO3C000103.2	163	252	244	220	348	242	256	252	353
MELO3C027611.2	0	0	0	0	0	0	0	0	0
MELO3C000099.2	2318	2297	3298	2549	3089	2698	3429	3318	3706
MELO3C000102.2	2	0	0	4	4	0	12	2	0
MELO3C000100.2	2	9	9	20	12	12	7	4	18
MELO3C000101.2	8	11	0	38	5	5	10	2	6
MELO3C027612.2	0	0	0	0	1	0	0	0	0
MELO3C000109.2	613	111	245	526	411	740	71	147	323
MELO3C028085.2	0	0	0	0	0	0	0	0	0
MELO3C028086.2	87	117	159	91	65	49	48	48	41
MELO3C027613.2	0	0	0	0	0	0	0	0	0
MELO3C000130.2	47	41	54	95	39	136	26	35	58
MELO3C027614.2	3	0	2	4	2	2	6	1	8
MELO3C000111.2	55	44	89	128	65	107	46	52	64
MELO3C028092.2	0	0	0	0	0	0	0	0	0
MELO3C028093.2	0	0	0	0	0	0	0	0	0
MELO3C000113.2	2	0	1	0	0	0	0	0	0
MELO3C027615.2	1871	1769	2404	2246	2347	2574	681	1861	1209
MELO3C000117.2	5621	5211	7536	4924	5117	4930	4340	5497	6479
MELO3C028097.2	0	0	0	0	0	0	0	0	0
MELO3C000131.2	14	17	2	15	6	18	11	6	3
MELO3C000121.2	0	0	0	0	0	0	0	0	0
MELO3C000123.2	0	0	0	0	0	0	0	0	0
MELO3C028110.2	0	0	0	0	0	0	0	0	0
MELO3C000129.2	24	21	32	62	95	17	239	220	191
MELO3C000126.2	2617	2693	4169	4427	5010	3459	3114	5209	2471
MELO3C000134.2	0	0	0	0	2	0	150	233	104
MELO3C028114.2	30	52	90	72	88	53	51	41	51
MELO3C000153.2	0	0	0	2	1	0	0	0	0
MELO3C000150.2	0	0	0	0	0	0	0	0	0
MELO3C028115.2	1	1	0	0	0	0	20	28	5
MELO3C000137.2	0	0	0	0	0	0	0	0	0
MELO3C027618.2	0	0	0	153	232	123	136	113	102
MELO3C000144.2	0	0	0	0	0	0	0	0	0
MELO3C027620.2	0	0	0	0	0	0	0	0	0
MELO3C000140.2	0	4	0	0	0	0	0	0	0
MELO3C000141.2	0	0	0	48	30	56	28	26	21
MELO3C027623.2	0	0	0	0	0	0	0	0	0
MELO3C000147.2	67	57	35	166	179	68	149	325	237
MELO3C027628.2	0	0	0	0	0	0	0	0	0
MELO3C000149.2	0	0	0	0	0	0	0	0	0
MELO3C000154.2	0	0	0	0	0	0	0	0	0
MELO3C000157.2	525	263	264	266	395	401	254	429	1314
MELO3C000173.2	14	19	10	17	23	19	10	8	20
MELO3C000152.2	696	779	1083	1241	1207	1159	710	1000	1331
MELO3C027625.2	0	0	0	0	0	0	0	0	0
MELO3C000155.2	0	0	0	0	0	0	0	2	0
MELO3C000161.2	128	147	231	208	96	119	119	73	230
MELO3C028132.2	704	461	891	502	574	447	577	639	500
MELO3C000179.2	79	16	57	33	33	33	63	23	30
MELO3C000180.2	17	3	6	29	14	16	4	14	19
MELO3C000166.2	1612	1757	1993	2099	2596	1708	2271	1827	2209
MELO3C028136.2	0	0	0	20	16	17	9	27	17
MELO3C027626.2	0	0	0	0	0	0	0	0	0
MELO3C027621.2	0	0	0	0	0	0	0	0	0
MELO3C027627.2	0	0	2	6	1	4	0	0	0
MELO3C027622.2	0	0	0	0	0	0	0	0	0
MELO3C000169.2	115	182	177	316	383	48	243	144	235
MELO3C027633.2	0	0	0	0	0	0	0	0	0
MELO3C000171.2	0	0	0	0	0	0	0	0	0
MELO3C027630.2	0	0	0	0	0	0	0	0	0
MELO3C028144.2	0	0	0	0	0	0	0	0	0
MELO3C028154.2	0	0	0	0	0	0	0	0	0
MELO3C000175.2	0	0	0	0	0	0	0	0	0
MELO3C028153.2	87	31	74	124	148	240	82	111	58
MELO3C027634.2	0	0	0	0	0	0	0	0	0
MELO3C000178.2	0	0	0	0	0	0	0	0	0
MELO3C027631.2	0	0	0	0	0	0	0	0	0
MELO3C028158.2	24	23	38	8	6	6	1	0	1
MELO3C028156.2	13	5	25	11	25	11	8	3	5
MELO3C027632.2	0	1	3	41	14	25	28	27	44
MELO3C027635.2	6	0	0	3	0	4	1	0	0
MELO3C027645.2	0	0	0	0	0	0	0	0	0
MELO3C000189.2	13	26	18	14	34	18	2	13	13
MELO3C027646.2	6046	3660	5061	5045	5780	2614	2483	5563	2980
MELO3C000192.2	2	7	6	4	4	13	0	8	13
MELO3C000193.2	0	0	0	0	0	0	0	0	0
MELO3C027640.2	0	0	0	1	0	0	2	1	0
MELO3C028161.2	0	0	0	0	0	0	0	0	0
MELO3C027636.2	0	0	0	0	0	0	0	0	0
MELO3C027080.2	0	0	0	0	0	0	0	0	0
MELO3C000196.2	25	40	22	57	45	49	40	20	49
MELO3C000827.2	1	3	5	1	0	1	1	0	0
MELO3C028171.2	11	0	0	1	10	5	8	1	3
MELO3C027637.2	0	0	0	0	0	0	0	0	0
MELO3C027642.2	0	0	0	0	0	0	0	0	0
MELO3C027641.2	0	0	0	0	0	0	0	0	0
MELO3C000199.2	538	642	889	800	1134	815	886	886	784
MELO3C000198.2	0	0	0	0	0	0	0	0	0
MELO3C000201.2	83	84	115	130	136	134	33	127	36
MELO3C000200.2	133	45	93	210	78	21	10	16	0
MELO3C027643.2	0	0	0	0	0	0	0	0	0
MELO3C000204.2	0	0	0	0	0	0	0	0	0
MELO3C028179.2	891	1054	1413	680	1054	896	536	889	585
MELO3C000203.2	0	1	2	0	0	0	0	0	0
MELO3C027644.2	0	0	0	2	0	0	0	0	0
MELO3C027647.2	0	0	0	0	0	0	0	0	0
MELO3C027651.2	0	0	0	0	0	0	0	0	0
MELO3C028189.2	244	146	183	138	246	199	148	156	243
MELO3C000210.2	1627	2015	2852	2636	2842	2151	826	1532	1111
MELO3C000213.2	86	153	189	904	1235	916	602	1131	730
MELO3C000241.2	13	7	16	27	38	19	41	22	25
MELO3C027652.2	0	1	0	2	3	3	0	0	0
MELO3C027648.2	14	23	29	41	6	29	19	22	11
MELO3C000220.2	6100	2734	4155	38648	16293	8706	501	917	162
MELO3C028198.2	0	0	0	0	0	0	0	0	0
MELO3C028201.2	0	0	0	0	0	0	0	0	0
MELO3C028199.2	0	0	0	0	0	0	0	0	0
MELO3C000215.2	0	0	0	0	0	0	0	0	0
